USRID	RST
141	0
211	0
237	0
242	0
245	0
314	0
369	0
391	0
510	0
526	0
553	0
555	0
644	0
723	0
738	0
747	0
775	0
780	0
822	0
874	0
913	0
953	0
978	0
1053	0
1061	0
1079	0
1082	0
1147	0
1202	0
1218	0
1275	0
1391	0
1410	0
1466	0
1541	0
1601	0
1604	0
1711	0
1713	0
1743	0
1762	0
1789	0
1995	0
2048	0
2166	0
2180	0
2310	0
2463	0
2699	0
2708	0
2726	0
2766	0
2777	0
2820	0
2821	0
2852	0
2891	0
2968	0
3006	0
3068	0
3137	0
3239	0
3241	0
3368	0
3477	0
3501	0
3517	0
3760	0
3776	0
3829	0
4011	0
4058	0
4062	0
4205	0
4206	0
4257	0
4284	0
4332	0
4353	0
4373	0
4375	0
4408	0
4472	0
4533	0
4572	0
4726	0
4873	0
4920	0
4968	0
5035	0
5184	0
5242	0
5271	0
5296	0
5300	0
5334	0
5347	0
5432	0
5492	0
5550	0
5603	0
5631	0
5632	0
5634	0
5782	0
5795	0
5900	0
6332	0
6339	0
6383	0
6546	0
6575	0
6754	0
6848	0
6872	0
6875	0
6896	0
7030	0
7080	0
7088	0
7107	0
7268	0
7418	0
7433	0
7457	0
7535	0
7985	0
8027	0
8078	0
8084	0
8108	0
8162	0
8176	0
8180	0
8186	0
8203	0
8215	0
8228	0
8370	0
8419	0
8420	0
8439	0
8563	0
8642	0
8757	0
8831	0
8884	0
8906	0
9051	0
9073	0
9101	0
9146	0
9171	0
9223	0
9231	0
9277	0
9349	0
9392	0
9429	0
9435	0
9457	0
9463	0
9488	0
9518	0
9571	0
9635	0
9654	0
9717	0
9758	0
9806	0
9831	0
9862	0
10019	0
10043	0
10178	0
10653	0
10670	0
10673	0
10738	0
10795	0
10796	0
10838	0
10839	0
10853	0
10934	0
11002	0
11011	0
11120	0
11123	0
11143	0
11144	0
11189	0
11194	0
11197	0
11245	0
11256	0
11267	0
11334	0
11389	0
11416	0
11433	0
11449	0
11459	0
11528	0
11543	0
11598	0
11611	0
11620	0
11700	0
11728	0
11764	0
11808	0
11846	0
12222	0
12332	0
12388	0
12400	0
12416	0
12478	0
12488	0
12545	0
12565	0
12622	0
12691	0
12714	0
12791	0
12793	0
12802	0
12805	0
12905	0
12958	0
12969	0
12997	0
13008	0
13102	0
13238	0
13256	0
13351	0
13446	0
13455	0
13693	0
13704	0
13812	0
14001	0
14031	0
14160	0
14181	0
14420	0
14517	0
14524	0
14562	0
14595	0
14743	0
14779	0
14782	0
14832	0
14895	0
14917	0
14933	0
14962	0
15012	0
15102	0
15103	0
15156	0
15182	0
15185	0
15233	0
15349	0
15379	0
15399	0
15413	0
15470	0
15509	0
15539	0
15846	0
15880	0
15914	0
15925	0
16021	0
16025	0
16077	0
16080	0
16084	0
16090	0
16113	0
16118	0
16177	0
16217	0
16290	0
16309	0
16352	0
16398	0
16547	0
16577	0
16626	0
16771	0
16802	0
16877	0
16880	0
16938	0
16940	0
16996	0
17015	0
17102	0
17104	0
17163	0
17401	0
17412	0
17424	0
17427	0
17428	0
17435	0
17466	0
17494	0
17602	0
17717	0
17867	0
17886	0
17893	0
18005	0
18144	0
18230	0
18286	0
18312	0
18340	0
18418	0
18455	0
18466	0
18475	0
18532	0
18549	0
18556	0
18584	0
18603	0
18604	0
18621	0
18668	0
18690	0
18766	0
18806	0
18963	0
19001	0
19051	0
19145	0
19211	0
19222	0
19288	0
19289	0
19424	0
19511	0
19646	0
19736	0
19834	0
19937	0
19955	0
20002	0
20033	0
20226	0
20235	0
20252	0
20364	0
20388	0
20504	0
20514	0
20552	0
20634	0
20704	0
20729	0
20822	0
20972	0
20973	0
21021	0
21038	0
21051	0
21066	0
21084	0
21087	0
21180	0
21195	0
21201	0
21225	0
21245	0
21327	0
21345	0
21360	0
21412	0
21446	0
21471	0
21478	0
21507	0
21553	0
21601	0
21629	0
21644	0
21670	0
21673	0
21690	0
21699	0
21759	0
21855	0
21914	0
22048	0
22100	0
22102	0
22106	0
22135	0
22202	0
22284	0
22306	0
22337	0
22437	0
22462	0
22494	0
22528	0
22549	0
22588	0
22679	0
22717	0
22733	0
22811	0
22858	0
22881	0
22933	0
23036	0
23090	0
23147	0
23201	0
23206	0
23227	0
23359	0
23367	0
23398	0
23650	0
23679	0
23710	0
23718	0
23726	0
23755	0
23772	0
23828	0
23834	0
23838	0
23965	0
24028	0
24069	0
24076	0
24171	0
24214	0
24226	0
24252	0
24273	0
24288	0
24390	0
24428	0
24496	0
24569	0
24617	0
24636	0
24640	0
24643	0
24648	0
24739	0
24811	0
24835	0
24845	0
24846	0
24881	0
24979	0
25102	0
25118	0
25174	0
25219	0
25255	0
25383	0
25415	0
25520	0
25538	0
25664	0
25799	0
25806	0
25836	0
25857	0
25902	0
25918	0
26095	0
26156	0
26187	0
26196	0
26258	0
26283	0
26333	0
26353	0
26359	0
26398	0
26413	0
26437	0
26628	0
26631	0
26640	0
26665	0
26679	0
26730	0
26793	0
26873	0
26980	0
27007	0
27016	0
27051	0
27056	0
27139	0
27160	0
27201	0
27229	0
27244	0
27324	0
27411	0
27452	0
27541	0
27682	0
27683	0
27728	0
27754	0
27813	0
27863	0
27873	0
27912	0
27986	0
28148	0
28222	0
28261	0
28266	0
28304	0
28317	0
28318	0
28402	0
28408	0
28426	0
28522	0
28611	0
28655	0
28658	0
28700	0
28710	0
28761	0
28880	0
28884	0
28901	0
28984	0
28992	0
29082	0
29089	0
29091	0
29120	0
29127	0
29154	0
29171	0
29174	0
29178	0
29181	0
29352	0
29446	0
29485	0
29570	0
29654	0
29864	0
29937	0
29938	0
29943	0
30006	0
30019	0
30061	0
30081	0
30083	0
30129	0
30143	0
30153	0
30185	0
30346	0
30414	0
30458	0
30528	0
30530	0
30531	0
30718	0
30821	0
30875	0
30877	0
30900	0
30902	0
30914	0
30941	0
30982	0
31040	0
31169	0
31262	0
31327	0
31345	0
31394	0
31396	0
31411	0
31482	0
31531	0
31612	0
31995	0
32036	0
32190	0
32203	0
32251	0
32407	0
32409	0
32419	0
32446	0
32463	0
32483	0
32616	0
32711	0
32720	0
32733	0
32748	0
32888	0
32898	0
32923	0
32925	0
32984	0
33022	0
33090	0
33192	0
33218	0
33234	0
33238	0
33244	0
33288	0
33320	0
33337	0
33417	0
33640	0
33752	0
33921	0
33960	0
34024	0
34039	0
34051	0
34074	0
34116	0
34163	0
34241	0
34251	0
34260	0
34276	0
34436	0
34450	0
34498	0
34572	0
34622	0
34805	0
34856	0
34871	0
34874	0
34909	0
35061	0
35121	0
35236	0
35394	0
35414	0
35428	0
35445	0
35648	0
35659	0
35919	0
35935	0
36105	0
36139	0
36189	0
36197	0
36240	0
36256	0
36312	0
36338	0
36389	0
36493	0
36529	0
36618	0
36650	0
36652	0
36667	0
36683	0
36698	0
36743	0
36778	0
36789	0
36792	0
36839	0
36941	0
37068	0
37101	0
37173	0
37240	0
37260	0
37283	0
37305	0
37330	0
37435	0
37450	0
37498	0
37553	0
37810	0
37857	0
37996	0
38036	0
38067	0
38188	0
38260	0
38268	0
38274	0
38281	0
38420	0
38440	0
38464	0
38542	0
38603	0
38762	0
38943	0
38996	0
39059	0
39073	0
39194	0
39224	0
39288	0
39294	0
39427	0
39471	0
39510	0
39645	0
39697	0
39817	0
39824	0
39836	0
39846	0
39972	0
40034	0
40069	0
40073	0
40231	0
40237	0
40344	0
40353	0
40405	0
40408	0
40425	0
40472	0
40473	0
40491	0
40503	0
40527	0
40571	0
40577	0
40594	0
40653	0
40660	0
40725	0
40758	0
40783	0
40821	0
40933	0
40987	0
41036	0
41053	0
41108	0
41140	0
41165	0
41189	0
41278	0
41279	0
41313	0
41323	0
41333	0
41364	0
41374	0
41402	0
41421	0
41522	0
41551	0
41556	0
41601	0
41671	0
41675	0
41680	0
41695	0
41971	0
41981	0
42012	0
42048	0
42093	0
42112	0
42155	0
42263	0
42272	0
42330	0
42340	0
42407	0
42478	0
42572	0
42620	0
42673	0
42714	0
42725	0
42741	0
42760	0
42779	0
42802	0
42833	0
42890	0
42946	0
42950	0
43007	0
43034	0
43062	0
43075	0
43123	0
43247	0
43311	0
43353	0
43364	0
43401	0
43435	0
43543	0
43563	0
43575	0
43603	0
43644	0
43648	0
43680	0
43730	0
43741	0
43786	0
43842	0
43855	0
43925	0
43955	0
43967	0
43971	0
44027	0
44193	0
44194	0
44236	0
44299	0
44345	0
44351	0
44461	0
44481	0
44507	0
44533	0
44541	0
44548	0
44793	0
44873	0
45088	0
45090	0
45172	0
45208	0
45226	0
45346	0
45377	0
45378	0
45391	0
45436	0
45473	0
45536	0
45642	0
45809	0
45866	0
45939	0
45988	0
45992	0
46015	0
46052	0
46088	0
46104	0
46140	0
46242	0
46257	0
46284	0
46313	0
46336	0
46370	0
46548	0
46550	0
46560	0
46658	0
46683	0
46701	0
46715	0
46730	0
46817	0
46853	0
46913	0
46938	0
46965	0
47074	0
47147	0
47252	0
47295	0
47421	0
47482	0
47570	0
47592	0
47611	0
47723	0
47734	0
47758	0
47782	0
47822	0
47823	0
47861	0
47875	0
47897	0
47901	0
48063	0
48069	0
48072	0
48086	0
48137	0
48143	0
48192	0
48222	0
48247	0
48338	0
48387	0
48389	0
48513	0
48514	0
48545	0
48547	0
48549	0
48581	0
48661	0
48665	0
48685	0
48728	0
48790	0
48829	0
48852	0
48894	0
48906	0
48922	0
48944	0
49087	0
49310	0
49318	0
49419	0
49442	0
49477	0
49496	0
49556	0
49614	0
49629	0
49641	0
49669	0
49695	0
49717	0
49740	0
49743	0
49754	0
49808	0
49905	0
49912	0
49957	0
49962	0
49974	0
50018	0
50100	0
50191	0
50243	0
50283	0
50325	0
50329	0
50332	0
50346	0
50357	0
50467	0
50484	0
50506	0
50572	0
50603	0
50663	0
50719	0
50729	0
50733	0
50766	0
50861	0
50921	0
50927	0
50978	0
50999	0
51080	0
51097	0
51100	0
51159	0
51201	0
51306	0
51414	0
51455	0
51489	0
51503	0
51528	0
51542	0
51550	0
51580	0
51697	0
51715	0
51742	0
51777	0
51799	0
51810	0
51838	0
52089	0
52123	0
52160	0
52169	0
52172	0
52199	0
52243	0
52284	0
52316	0
52414	0
52417	0
52495	0
52530	0
52723	0
52763	0
52815	0
52861	0
52935	0
53137	0
53199	0
53277	0
53309	0
53342	0
53567	0
53629	0
53657	0
53668	0
53696	0
53716	0
53821	0
54003	0
54108	0
54141	0
54244	0
54257	0
54329	0
54336	0
54346	0
54374	0
54394	0
54498	0
54575	0
54693	0
54734	0
54804	0
54835	0
54882	0
54928	0
54958	0
54967	0
54991	0
55022	0
55100	0
55242	0
55250	0
55282	0
55307	0
55354	0
55384	0
55456	0
55486	0
55513	0
55536	0
55569	0
55590	0
55762	0
55828	0
55833	0
55835	0
55902	0
55936	0
56091	0
56104	0
56144	0
56158	0
56188	0
56294	0
56386	0
56439	0
56443	0
56457	0
56479	0
56485	0
56535	0
56680	0
56691	0
56694	0
57002	0
57064	0
57073	0
57130	0
57204	0
57234	0
57282	0
57350	0
57416	0
57434	0
57457	0
57464	0
57733	0
57744	0
57797	0
57811	0
57851	0
57854	0
57859	0
57861	0
57869	0
58046	0
58065	0
58101	0
58118	0
58236	0
58237	0
58251	0
58283	0
58360	0
58382	0
58433	0
58469	0
58685	0
58690	0
58709	0
58727	0
58779	0
58858	0
58993	0
59111	0
59206	0
59232	0
59270	0
59301	0
59566	0
59602	0
59654	0
59698	0
59759	0
59821	0
59900	0
59918	0
60028	0
60050	0
60064	0
60209	0
60220	0
60229	0
60269	0
60288	0
60300	0
60362	0
60385	0
60590	0
60609	0
60664	0
60808	0
60845	0
60913	0
60935	0
60936	0
61036	0
61184	0
61188	0
61226	0
61268	0
61277	0
61410	0
61524	0
61606	0
61652	0
61707	0
61736	0
61761	0
61862	0
61874	0
61889	0
61898	0
61902	0
61980	0
61990	0
62001	0
62015	0
62040	0
62047	0
62277	0
62379	0
62407	0
62420	0
62452	0
62623	0
62625	0
62712	0
62731	0
62928	0
62978	0
63023	0
63092	0
63140	0
63205	0
63234	0
63263	0
63393	0
63394	0
63676	0
63745	0
63767	0
63807	0
63899	0
63946	0
63982	0
64007	0
64016	0
64037	0
64212	0
64270	0
64416	0
64487	0
64581	0
64627	0
64692	0
64696	0
64769	0
64815	0
64835	0
64846	0
64851	0
64923	0
65019	0
65126	0
65230	0
65252	0
65438	0
65517	0
65587	0
65631	0
65644	0
65729	0
65747	0
65852	0
65876	0
65904	0
65931	0
65934	0
66157	0
66159	0
66182	0
66199	0
66209	0
66212	0
66285	0
66391	0
66400	0
66449	0
66473	0
66576	0
66650	0
66659	0
66686	0
66690	0
66701	0
66799	0
66840	0
66966	0
66999	0
67001	0
67076	0
67112	0
67121	0
67130	0
67132	0
67196	0
67225	0
67268	0
67375	0
67397	0
67404	0
67496	0
67536	0
67541	0
67651	0
67706	0
67789	0
67838	0
67895	0
67997	0
68010	0
68018	0
68143	0
68250	0
68294	0
68301	0
68306	0
68351	0
68367	0
68434	0
68451	0
68463	0
68596	0
68606	0
68628	0
68639	0
68777	0
68993	0
68994	0
69031	0
69063	0
69150	0
69168	0
69251	0
69410	0
69484	0
69523	0
69556	0
69582	0
69645	0
69823	0
69888	0
69939	0
70048	0
70068	0
70121	0
70166	0
70188	0
70224	0
70229	0
70242	0
70285	0
70291	0
70306	0
70337	0
70512	0
70525	0
70530	0
70600	0
70719	0
70765	0
70771	0
70798	0
70800	0
70815	0
70837	0
70856	0
70971	0
70978	0
70979	0
71011	0
71018	0
71035	0
71045	0
71054	0
71126	0
71155	0
71261	0
71322	0
71409	0
71419	0
71445	0
71461	0
71484	0
71519	0
71599	0
71718	0
71719	0
71877	0
71954	0
71966	0
72004	0
72011	0
72021	0
72048	0
72136	0
72185	0
72297	0
72323	0
72340	0
72351	0
72404	0
72554	0
72634	0
72645	0
72656	0
72668	0
72682	0
72754	0
72871	0
72936	0
72944	0
72947	0
73036	0
73076	0
73122	0
73239	0
73359	0
73363	0
73451	0
73561	0
73614	0
73654	0
73803	0
73833	0
73843	0
73857	0
73865	0
73951	0
74095	0
74116	0
74224	0
74239	0
74250	0
74312	0
74316	0
74331	0
74349	0
74363	0
74374	0
74429	0
74438	0
74543	0
74572	0
74603	0
74708	0
74785	0
74821	0
74829	0
75021	0
75111	0
75191	0
75202	0
75218	0
75249	0
75327	0
75344	0
75345	0
75412	0
75492	0
75534	0
75599	0
75624	0
75672	0
75689	0
75711	0
75774	0
75779	0
75798	0
75822	0
75931	0
76001	0
76051	0
76102	0
76131	0
76201	0
76210	0
76240	0
76361	0
76385	0
76388	0
76472	0
76522	0
76533	0
76589	0
76713	0
76791	0
76852	0
76953	0
77052	0
77080	0
77103	0
77294	0
77317	0
77369	0
77525	0
77538	0
77539	0
77649	0
77663	0
77664	0
77674	0
77724	0
77774	0
78023	0
78039	0
78045	0
78048	0
78067	0
78151	0
78184	0
78235	0
78288	0
78318	0
78353	0
78362	0
78399	0
78416	0
78748	0
78774	0
78890	0
78981	0
79056	0
79059	0
79088	0
79119	0
79179	0
79382	0
79399	0
79430	0
79479	0
79533	0
79542	0
79559	0
79568	0
79620	0
79710	0
79753	0
79964	0
80087	0
80122	0
80135	0
80158	0
80172	0
80271	0
80317	0
80324	0
80601	0
80779	0
80977	0
80978	0
81021	0
81093	0
81107	0
81153	0
81261	0
81287	0
81424	0
81449	0
81459	0
81482	0
81487	0
81556	0
81568	0
81574	0
81577	0
81583	0
81602	0
81734	0
81802	0
81841	0
81846	0
81880	0
81888	0
82013	0
